"S","infect","infect_month","ser","SV","infectV","infect_monthV","serV"
1,49,2,0,1,147,5,0
1,0,0,0,1,0,0,0
1,140,5,0,1,75,3,0
1,96,4,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,162,6,0
1,138,5,0,1,0,0,0
1,41,2,0,1,0,0,0
1,62,2,0,1,50,2,0
1,77,3,0,1,27,1,0
1,56,2,0,1,60,2,0
1,0,0,0,1,0,0,0
1,0,0,0,1,23,1,0
1,0,0,0,1,3,1,0
1,0,0,0,1,0,0,0
1,45,2,45,1,31,1,0
1,5,1,0,1,20,1,20
1,133,5,0,1,0,0,0
1,8,1,0,1,0,0,0
1,13,1,0,1,0,0,0
1,17,1,0,1,117,4,117
1,13,1,0,1,73,3,0
1,138,5,0,1,0,0,0
1,100,4,0,1,0,0,0
1,73,3,0,1,22,1,0
1,0,0,0,1,35,2,0
1,3,1,0,1,55,2,0
1,3,1,0,1,127,5,0
1,37,2,0,1,145,5,0
1,0,0,0,1,62,2,0
1,1,1,0,1,143,5,143
1,88,3,0,1,171,6,0
1,32,2,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,25,1,0,1,0,0,0
1,146,5,0,1,0,0,0
1,0,0,0,1,21,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,169,6,0
1,0,0,0,1,31,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,14,1,0,1,7,1,0
1,40,2,0,1,105,4,105
1,153,5,0,1,0,0,0
1,44,2,0,1,25,1,0
1,89,3,0,1,8,1,8
1,0,0,0,1,1,1,0
1,67,3,0,1,0,0,0
1,2,1,2,1,49,2,0
1,180,6,0,1,14,1,0
1,89,3,0,1,0,0,0
1,171,6,171,1,0,0,0
1,130,5,0,1,25,1,0
1,114,4,0,1,139,5,0
1,0,0,0,1,0,0,0
1,28,1,0,1,0,0,0
1,85,3,0,1,119,4,0
1,28,1,0,1,4,1,0
1,130,5,130,1,43,2,0
1,35,2,0,1,0,0,0
1,141,5,0,1,31,1,0
1,24,1,0,1,156,6,156
1,0,0,0,1,7,1,0
1,20,1,0,1,104,4,0
1,115,4,0,1,0,0,0
1,98,4,0,1,0,0,0
1,56,2,0,1,114,4,0
1,0,0,0,1,0,0,0
1,13,1,0,1,63,3,0
1,0,0,0,1,23,1,0
1,60,2,0,1,6,1,0
1,12,1,12,1,137,5,0
1,0,0,0,1,4,1,0
1,44,2,0,1,118,4,0
1,24,1,0,1,107,4,0
1,0,0,0,1,0,0,0
1,16,1,0,1,116,4,0
1,71,3,0,1,0,0,0
1,0,0,0,1,24,1,0
1,83,3,0,1,0,0,0
1,7,1,0,1,9,1,0
1,0,0,0,1,83,3,0
1,6,1,0,1,0,0,0
1,32,2,0,1,129,5,0
1,0,0,0,1,10,1,0
1,180,6,0,1,39,2,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,2,1,0
1,0,0,0,1,0,0,0
1,47,2,0,1,154,5,0
1,0,0,0,1,144,5,0
1,12,1,0,1,126,5,0
1,65,3,0,1,172,6,172
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,14,1,0,1,0,0,0
1,28,1,0,1,47,2,0
1,2,1,0,1,9,1,0
1,0,0,0,1,0,0,0
1,23,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,93,3,0,1,0,0,0
1,66,3,0,1,11,1,0
1,141,5,0,1,0,0,0
1,0,0,0,1,0,0,0
1,96,4,96,1,0,0,0
1,0,0,0,1,45,2,0
1,18,1,0,1,138,5,0
1,44,2,0,1,129,5,0
1,0,0,0,1,135,5,0
1,0,0,0,1,0,0,0
1,0,0,0,1,168,6,0
1,0,0,0,1,0,0,0
1,0,0,0,1,23,1,0
1,0,0,0,1,12,1,0
1,0,0,0,1,87,3,0
1,0,0,0,1,31,1,0
1,41,2,0,1,160,6,0
1,175,6,0,1,0,0,0
1,0,0,0,1,39,2,0
1,107,4,0,1,100,4,0
1,126,5,0,1,0,0,0
1,0,0,0,1,0,0,0
1,25,1,0,1,0,0,0
1,0,0,0,1,95,4,0
1,0,0,0,1,166,6,0
1,59,2,0,1,102,4,102
1,67,3,67,1,1,1,0
1,107,4,0,1,0,0,0
1,35,2,0,1,8,1,0
1,82,3,0,1,0,0,0
1,71,3,0,1,23,1,0
1,0,0,0,1,0,0,0
1,84,3,0,1,13,1,0
1,0,0,0,1,0,0,0
1,86,3,0,1,92,3,0
1,24,1,0,1,0,0,0
1,0,0,0,1,1,1,0
1,55,2,0,1,151,5,0
1,0,0,0,1,0,0,0
1,8,1,0,1,64,3,64
1,138,5,138,1,23,1,0
1,146,5,0,1,25,1,0
1,3,1,0,1,0,0,0
1,10,1,0,1,0,0,0
1,123,4,0,1,3,1,0
1,0,0,0,1,94,4,0
1,66,3,0,1,62,2,0
1,26,1,0,1,0,0,0
1,0,0,0,1,63,3,0
1,0,0,0,1,42,2,0
1,95,4,0,1,56,2,0
1,0,0,0,1,0,0,0
1,84,3,0,1,150,5,0
1,151,5,0,1,128,5,0
1,122,4,0,1,0,0,0
1,0,0,0,1,0,0,0
1,108,4,108,1,6,1,0
1,0,0,0,1,61,2,0
1,0,0,0,1,13,1,0
1,104,4,0,1,61,2,0
1,93,3,0,1,118,4,0
1,67,3,0,1,29,1,0
1,121,4,0,1,0,0,0
1,71,3,0,1,63,3,63
1,5,1,0,1,142,5,0
1,0,0,0,1,0,0,0
1,6,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,87,3,87,1,10,1,0
1,1,1,0,1,0,0,0
1,0,0,0,1,161,6,0
1,20,1,0,1,0,0,0
1,0,0,0,1,80,3,0
1,157,6,0,1,82,3,0
1,36,2,0,1,23,1,0
1,0,0,0,1,98,4,98
1,0,0,0,1,0,0,0
1,0,0,0,1,106,4,0
1,142,5,0,1,0,0,0
1,89,3,0,1,0,0,0
1,12,1,0,1,4,1,0
1,28,1,0,1,71,3,0
1,0,0,0,1,80,3,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,33,2,0
1,30,1,0,1,0,0,0
1,27,1,0,1,62,2,0
1,52,2,0,1,163,6,0
1,163,6,0,1,60,2,0
1,0,0,0,1,0,0,0
1,101,4,101,1,18,1,18
1,70,3,0,1,0,0,0
1,10,1,0,1,5,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,73,3,0,1,73,3,73
1,0,0,0,1,53,2,0
1,33,2,0,1,124,4,0
1,0,0,0,1,0,0,0
1,63,3,0,1,0,0,0
1,35,2,0,1,28,1,0
1,3,1,0,1,72,3,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,3,1,0,1,141,5,0
1,167,6,0,1,0,0,0
1,0,0,0,1,167,6,0
1,0,0,0,1,74,3,74
1,48,2,0,1,0,0,0
1,0,0,0,1,21,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,65,3,0
1,8,1,0,1,175,6,0
1,1,1,0,1,28,1,0
1,164,6,0,1,87,3,87
1,0,0,0,1,52,2,0
1,146,5,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,58,2,0
1,0,0,0,1,107,4,0
1,50,2,0,1,50,2,0
1,0,0,0,1,41,2,0
1,60,2,60,1,115,4,0
1,0,0,0,1,0,0,0
1,91,3,0,1,0,0,0
1,0,0,0,1,64,3,0
1,14,1,0,1,0,0,0
1,0,0,0,1,13,1,0
1,0,0,0,1,77,3,0
1,3,1,0,1,0,0,0
1,9,1,0,1,30,1,0
1,63,3,0,1,24,1,0
1,47,2,0,1,0,0,0
1,0,0,0,1,0,0,0
1,71,3,0,1,48,2,0
1,97,4,0,1,41,2,0
1,68,3,0,1,0,0,0
1,138,5,0,1,0,0,0
1,0,0,0,1,44,2,0
1,0,0,0,1,57,2,0
1,166,6,0,1,15,1,15
1,0,0,0,1,0,0,0
1,0,0,0,1,27,1,0
1,113,4,0,1,29,1,0
1,0,0,0,1,19,1,19
1,24,1,0,1,26,1,0
1,120,4,0,1,24,1,0
1,31,1,0,1,73,3,73
1,21,1,0,1,0,0,0
1,129,5,0,1,0,0,0
1,0,0,0,1,128,5,0
1,33,2,0,1,88,3,88
1,11,1,0,1,0,0,0
1,49,2,49,1,0,0,0
1,0,0,0,1,14,1,0
1,0,0,0,1,142,5,0
1,13,1,0,1,99,4,0
1,0,0,0,1,0,0,0
1,46,2,0,1,0,0,0
1,49,2,0,1,12,1,0
1,0,0,0,1,116,4,116
1,0,0,0,1,117,4,0
1,133,5,0,1,52,2,0
1,0,0,0,1,8,1,0
1,0,0,0,1,0,0,0
1,114,4,0,1,0,0,0
1,167,6,167,1,41,2,0
1,19,1,0,1,1,1,0
1,26,1,0,1,155,5,0
1,133,5,0,1,53,2,0
1,138,5,0,1,32,2,0
1,72,3,0,1,12,1,0
1,0,0,0,1,11,1,0
1,0,0,0,1,3,1,0
1,0,0,0,1,180,6,0
1,0,0,0,1,43,2,0
1,161,6,0,1,173,6,0
1,108,4,0,1,0,0,0
1,63,3,0,1,4,1,0
1,0,0,0,1,132,5,0
1,97,4,0,1,0,0,0
1,81,3,0,1,38,2,0
1,31,1,0,1,9,1,0
1,5,1,0,1,0,0,0
1,0,0,0,1,42,2,42
1,121,4,0,1,37,2,0
1,0,0,0,1,0,0,0
1,12,1,0,1,70,3,0
1,155,5,0,1,0,0,0
1,0,0,0,1,141,5,0
1,0,0,0,1,154,5,0
1,107,4,107,1,0,0,0
1,0,0,0,1,116,4,0
1,0,0,0,1,34,2,0
1,76,3,0,1,93,3,0
1,0,0,0,1,0,0,0
1,36,2,36,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,33,2,0
1,92,3,0,1,0,0,0
1,0,0,0,1,112,4,112
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,50,2,50,1,105,4,0
1,22,1,0,1,84,3,0
1,12,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,83,3,0
1,174,6,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,94,4,0,1,91,3,0
1,0,0,0,1,90,3,0
1,105,4,0,1,67,3,0
1,0,0,0,1,0,0,0
1,72,3,0,1,24,1,0
1,91,3,0,1,0,0,0
1,0,0,0,1,168,6,0
1,97,4,0,1,21,1,0
1,0,0,0,1,151,5,0
1,155,5,0,1,97,4,0
1,0,0,0,1,84,3,0
1,100,4,0,1,0,0,0
1,7,1,0,1,0,0,0
1,64,3,0,1,32,2,0
1,147,5,0,1,0,0,0
1,103,4,0,1,25,1,0
1,0,0,0,1,59,2,0
1,0,0,0,1,0,0,0
1,22,1,0,1,68,3,0
1,84,3,0,1,63,3,0
1,61,2,0,1,75,3,0
1,6,1,6,1,0,0,0
1,0,0,0,1,0,0,0
1,34,2,0,1,0,0,0
1,112,4,0,1,13,1,13
1,44,2,0,1,115,4,0
1,41,2,0,1,174,6,0
1,52,2,0,1,0,0,0
1,156,6,0,1,0,0,0
1,106,4,0,1,0,0,0
1,0,0,0,1,73,3,0
1,75,3,0,1,39,2,0
1,0,0,0,1,119,4,119
1,33,2,0,1,26,1,0
1,0,0,0,1,1,1,0
1,34,2,0,1,0,0,0
1,65,3,0,1,35,2,0
1,72,3,0,1,45,2,0
1,0,0,0,1,47,2,47
1,10,1,0,1,0,0,0
1,0,0,0,1,23,1,0
1,65,3,0,1,0,0,0
1,0,0,0,1,93,3,93
1,41,2,0,1,0,0,0
1,145,5,0,1,30,1,0
1,0,0,0,1,5,1,0
1,25,1,25,1,45,2,0
1,162,6,0,1,0,0,0
1,71,3,0,1,0,0,0
1,29,1,0,1,29,1,0
1,0,0,0,1,90,3,0
1,0,0,0,1,0,0,0
1,52,2,0,1,12,1,0
1,50,2,0,1,40,2,0
1,0,0,0,1,0,0,0
1,31,1,0,1,0,0,0
1,139,5,0,1,180,6,0
1,120,4,0,1,46,2,0
1,94,4,0,1,0,0,0
1,73,3,0,1,12,1,0
1,5,1,0,1,58,2,0
1,131,5,0,1,25,1,0
1,0,0,0,1,172,6,0
1,52,2,0,1,0,0,0
1,95,4,0,1,58,2,58
1,60,2,0,1,31,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,59,2,0,1,0,0,0
1,0,0,0,1,0,0,0
1,67,3,0,1,146,5,0
1,164,6,0,1,89,3,0
1,11,1,0,1,101,4,101
1,71,3,0,1,179,6,0
1,0,0,0,1,2,1,0
1,108,4,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,81,3,0,1,0,0,0
1,0,0,0,1,147,5,0
1,7,1,0,1,0,0,0
1,119,4,0,1,71,3,0
1,30,1,0,1,169,6,0
1,53,2,0,1,146,5,0
1,0,0,0,1,21,1,0
1,0,0,0,1,109,4,0
1,125,5,125,1,9,1,0
1,21,1,0,1,0,0,0
1,0,0,0,1,35,2,0
1,37,2,0,1,0,0,0
1,35,2,0,1,64,3,64
1,2,1,0,1,127,5,127
1,48,2,0,1,71,3,0
1,162,6,162,1,125,5,0
1,0,0,0,1,0,0,0
1,118,4,0,1,28,1,0
1,31,1,0,1,90,3,0
1,12,1,0,1,0,0,0
1,61,2,0,1,135,5,0
1,28,1,0,1,153,5,153
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,21,1,0,1,5,1,0
1,89,3,0,1,120,4,0
1,161,6,161,1,0,0,0
1,42,2,0,1,0,0,0
1,21,1,0,1,61,2,0
1,104,4,0,1,107,4,0
1,0,0,0,1,0,0,0
1,35,2,0,1,19,1,0
1,65,3,0,1,0,0,0
1,109,4,0,1,16,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,109,4,0
1,0,0,0,1,64,3,0
1,6,1,0,1,0,0,0
1,24,1,0,1,177,6,0
1,41,2,0,1,0,0,0
1,0,0,0,1,98,4,0
1,2,1,0,1,0,0,0
1,83,3,0,1,0,0,0
1,0,0,0,1,153,5,0
1,0,0,0,1,0,0,0
1,67,3,0,1,52,2,0
1,22,1,0,1,16,1,0
1,89,3,0,1,0,0,0
1,0,0,0,1,29,1,29
1,0,0,0,1,110,4,0
1,21,1,0,1,38,2,0
1,94,4,94,1,28,1,28
1,167,6,167,1,137,5,0
1,0,0,0,1,0,0,0
1,9,1,0,1,0,0,0
1,131,5,0,1,89,3,0
1,16,1,0,1,73,3,0
1,0,0,0,1,0,0,0
1,138,5,138,1,42,2,0
1,23,1,0,1,65,3,0
1,41,2,0,1,0,0,0
1,0,0,0,1,148,5,148
1,0,0,0,1,144,5,0
1,27,1,0,1,36,2,0
1,0,0,0,1,19,1,0
1,154,5,0,1,109,4,0
1,91,3,0,1,81,3,0
1,93,3,0,1,34,2,0
1,93,3,0,1,105,4,0
1,113,4,113,1,176,6,0
1,88,3,0,1,59,2,0
1,0,0,0,1,0,0,0
1,29,1,0,1,65,3,0
1,0,0,0,1,0,0,0
1,20,1,0,1,0,0,0
1,138,5,0,1,10,1,10
1,0,0,0,1,159,6,0
1,0,0,0,1,0,0,0
1,65,3,0,1,64,3,64
1,0,0,0,1,126,5,0
1,41,2,0,1,0,0,0
1,156,6,0,1,57,2,0
1,0,0,0,1,18,1,18
1,112,4,0,1,89,3,0
1,0,0,0,1,0,0,0
1,108,4,0,1,0,0,0
1,0,0,0,1,104,4,0
1,0,0,0,1,0,0,0
1,106,4,0,1,0,0,0
1,0,0,0,1,169,6,0
1,0,0,0,1,32,2,0
1,38,2,0,1,78,3,0
1,127,5,127,1,0,0,0
1,51,2,0,1,0,0,0
1,33,2,0,1,8,1,0
1,98,4,0,1,73,3,0
1,0,0,0,1,157,6,0
1,39,2,0,1,0,0,0
1,58,2,58,1,107,4,0
1,0,0,0,1,0,0,0
1,171,6,0,1,159,6,159
1,0,0,0,1,88,3,0
1,31,1,0,1,0,0,0
1,49,2,0,1,149,5,0
1,0,0,0,1,0,0,0
1,93,3,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,155,5,0,1,131,5,0
1,70,3,0,1,33,2,0
1,22,1,0,1,18,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,25,1,0
1,0,0,0,1,147,5,147
1,44,2,44,1,74,3,0
1,0,0,0,1,35,2,35
1,100,4,0,1,22,1,0
1,1,1,0,1,131,5,131
1,120,4,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,91,3,0
1,0,0,0,1,160,6,0
1,0,0,0,1,0,0,0
1,26,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,113,4,0,1,25,1,0
1,49,2,0,1,17,1,0
1,0,0,0,1,81,3,0
1,7,1,0,1,0,0,0
1,43,2,43,1,27,1,0
1,118,4,0,1,0,0,0
1,118,4,0,1,68,3,0
1,0,0,0,1,148,5,0
1,12,1,12,1,91,3,0
1,17,1,0,1,0,0,0
1,179,6,0,1,46,2,0
1,0,0,0,1,82,3,0
1,38,2,38,1,59,2,0
1,0,0,0,1,0,0,0
1,53,2,0,1,29,1,0
1,38,2,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,33,2,0
1,114,4,0,1,55,2,0
1,0,0,0,1,0,0,0
1,43,2,0,1,0,0,0
1,125,5,125,1,72,3,0
1,141,5,0,1,15,1,0
1,37,2,0,1,0,0,0
1,111,4,0,1,137,5,0
1,156,6,0,1,3,1,0
1,84,3,0,1,30,1,0
1,166,6,0,1,45,2,0
1,0,0,0,1,141,5,0
1,30,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,174,6,0,1,90,3,0
1,0,0,0,1,102,4,0
1,0,0,0,1,67,3,0
1,0,0,0,1,67,3,0
1,0,0,0,1,12,1,0
1,155,5,0,1,16,1,0
1,87,3,0,1,41,2,0
1,63,3,0,1,64,3,0
1,54,2,0,1,177,6,0
1,5,1,0,1,17,1,0
1,0,0,0,1,4,1,4
1,0,0,0,1,0,0,0
1,79,3,0,1,66,3,0
1,0,0,0,1,115,4,0
1,0,0,0,1,24,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,138,5,0,1,117,4,0
1,93,3,0,1,2,1,0
1,111,4,0,1,19,1,0
1,0,0,0,1,44,2,0
1,0,0,0,1,45,2,0
1,165,6,0,1,114,4,0
1,135,5,0,1,0,0,0
1,0,0,0,1,74,3,0
1,0,0,0,1,58,2,0
1,24,1,0,1,68,3,0
1,25,1,0,1,0,0,0
1,24,1,24,1,15,1,0
1,0,0,0,1,0,0,0
1,35,2,0,1,32,2,0
1,41,2,0,1,166,6,0
1,170,6,0,1,0,0,0
1,83,3,0,1,98,4,0
1,51,2,0,1,85,3,0
1,91,3,0,1,0,0,0
1,74,3,0,1,0,0,0
1,13,1,0,1,0,0,0
1,58,2,0,1,148,5,0
1,54,2,0,1,7,1,0
1,103,4,0,1,46,2,0
1,38,2,0,1,153,5,0
1,3,1,0,1,20,1,0
1,111,4,0,1,57,2,0
1,52,2,52,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,6,1,0
1,0,0,0,1,104,4,0
1,0,0,0,1,0,0,0
1,175,6,0,1,163,6,0
1,28,1,0,1,125,5,125
1,70,3,0,1,1,1,0
1,117,4,0,1,30,1,0
1,49,2,0,1,31,1,0
1,0,0,0,1,59,2,0
1,139,5,0,1,19,1,0
1,0,0,0,1,0,0,0
1,41,2,0,1,0,0,0
1,45,2,0,1,0,0,0
1,0,0,0,1,50,2,0
1,6,1,0,1,9,1,0
1,94,4,0,1,111,4,0
1,0,0,0,1,0,0,0
1,32,2,0,1,0,0,0
1,151,5,0,1,26,1,26
1,0,0,0,1,20,1,0
1,0,0,0,1,0,0,0
1,163,6,163,1,10,1,0
1,124,4,0,1,93,3,0
1,7,1,7,1,2,1,0
1,120,4,0,1,26,1,0
1,150,5,0,1,0,0,0
1,0,0,0,1,0,0,0
1,102,4,0,1,131,5,0
1,0,0,0,1,115,4,0
1,131,5,0,1,145,5,0
1,0,0,0,1,29,1,29
1,0,0,0,1,123,4,0
1,152,5,0,1,24,1,0
1,64,3,0,1,0,0,0
1,6,1,0,1,94,4,0
1,0,0,0,1,10,1,10
1,0,0,0,1,7,1,0
1,93,3,0,1,0,0,0
1,108,4,0,1,0,0,0
1,100,4,0,1,26,1,0
1,0,0,0,1,107,4,0
1,52,2,0,1,47,2,0
1,9,1,0,1,148,5,148
1,63,3,0,1,0,0,0
1,68,3,0,1,4,1,0
1,0,0,0,1,78,3,0
1,0,0,0,1,0,0,0
1,0,0,0,1,44,2,0
1,0,0,0,1,0,0,0
1,65,3,0,1,20,1,0
1,91,3,0,1,116,4,0
1,109,4,0,1,150,5,0
1,63,3,0,1,39,2,0
1,0,0,0,1,48,2,0
1,0,0,0,1,0,0,0
1,9,1,0,1,0,0,0
1,99,4,0,1,0,0,0
1,62,2,0,1,27,1,0
1,0,0,0,1,0,0,0
1,66,3,0,1,13,1,0
1,129,5,0,1,43,2,0
1,5,1,0,1,0,0,0
1,0,0,0,1,119,4,0
1,24,1,0,1,120,4,0
1,0,0,0,1,107,4,0
1,0,0,0,1,0,0,0
1,117,4,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,17,1,0
1,51,2,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,97,4,0
1,130,5,0,1,0,0,0
1,0,0,0,1,64,3,0
1,0,0,0,1,37,2,0
1,105,4,0,1,97,4,0
1,166,6,0,1,0,0,0
1,85,3,0,1,53,2,0
1,26,1,0,1,0,0,0
1,44,2,0,1,91,3,0
1,16,1,0,1,52,2,0
1,0,0,0,1,125,5,0
1,0,0,0,1,10,1,0
1,172,6,0,1,0,0,0
1,92,3,0,1,0,0,0
1,12,1,0,1,116,4,0
1,0,0,0,1,99,4,0
1,146,5,0,1,44,2,0
1,102,4,0,1,88,3,0
1,129,5,0,1,0,0,0
1,144,5,0,1,25,1,0
1,142,5,0,1,87,3,0
1,36,2,0,1,140,5,0
1,38,2,0,1,0,0,0
1,73,3,0,1,0,0,0
1,44,2,0,1,0,0,0
1,27,1,0,1,126,5,0
1,108,4,0,1,14,1,0
1,35,2,0,1,0,0,0
1,84,3,0,1,0,0,0
1,5,1,0,1,0,0,0
1,176,6,0,1,44,2,0
1,0,0,0,1,140,5,0
1,150,5,0,1,9,1,0
1,0,0,0,1,125,5,0
1,38,2,0,1,16,1,0
1,104,4,0,1,87,3,0
1,0,0,0,1,0,0,0
1,0,0,0,1,123,4,123
1,0,0,0,1,56,2,0
1,64,3,0,1,0,0,0
1,0,0,0,1,0,0,0
1,150,5,0,1,0,0,0
1,50,2,0,1,26,1,0
1,94,4,0,1,20,1,0
1,123,4,0,1,21,1,0
1,57,2,57,1,2,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,121,4,0
1,0,0,0,1,161,6,0
1,90,3,0,1,63,3,0
1,122,4,0,1,19,1,0
1,141,5,0,1,0,0,0
1,69,3,0,1,112,4,0
1,0,0,0,1,22,1,0
1,27,1,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,59,2,0
1,132,5,0,1,145,5,0
1,0,0,0,1,0,0,0
1,12,1,12,1,41,2,41
1,0,0,0,1,33,2,0
1,0,0,0,1,0,0,0
1,0,0,0,1,8,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,20,1,0
1,0,0,0,1,115,4,0
1,51,2,0,1,37,2,0
1,77,3,0,1,0,0,0
1,0,0,0,1,0,0,0
1,76,3,76,1,17,1,0
1,0,0,0,1,0,0,0
1,163,6,0,1,65,3,0
1,119,4,119,1,0,0,0
1,0,0,0,1,117,4,0
1,0,0,0,1,0,0,0
1,0,0,0,1,160,6,0
1,0,0,0,1,1,1,0
1,0,0,0,1,0,0,0
1,0,0,0,1,134,5,0
1,0,0,0,1,10,1,0
1,137,5,0,1,73,3,0
1,64,3,0,1,7,1,0
1,0,0,0,1,0,0,0
1,27,1,0,1,111,4,0
1,82,3,0,1,121,4,0
1,36,2,0,1,109,4,109
1,0,0,0,1,4,1,0
1,96,4,0,1,18,1,0
1,0,0,0,1,0,0,0
1,44,2,0,1,128,5,0
1,7,1,7,1,0,0,0
1,175,6,0,1,114,4,0
1,117,4,0,1,0,0,0
1,0,0,0,1,0,0,0
1,35,2,0,1,177,6,0
1,34,2,0,1,0,0,0
1,142,5,0,1,143,5,0
1,117,4,0,1,54,2,0
1,0,0,0,1,94,4,0
1,92,3,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,95,4,0,1,0,0,0
1,8,1,0,1,102,4,102
1,0,0,0,1,0,0,0
1,29,1,0,1,0,0,0
1,16,1,0,1,57,2,0
1,20,1,0,1,0,0,0
1,103,4,0,1,128,5,0
1,82,3,0,1,25,1,0
1,0,0,0,1,81,3,81
1,174,6,0,1,178,6,0
1,85,3,0,1,0,0,0
1,0,0,0,1,0,0,0
1,16,1,0,1,57,2,57
1,0,0,0,1,135,5,0
1,54,2,0,1,60,2,60
1,8,1,0,1,27,1,0
1,67,3,0,1,9,1,0
1,52,2,0,1,58,2,0
1,0,0,0,1,0,0,0
1,73,3,0,1,0,0,0
1,0,0,0,1,0,0,0
1,66,3,0,1,0,0,0
1,107,4,0,1,0,0,0
1,65,3,0,1,0,0,0
1,122,4,0,1,103,4,0
1,0,0,0,1,143,5,0
1,21,1,0,1,149,5,149
1,79,3,0,1,135,5,0
1,103,4,103,1,41,2,0
1,176,6,0,1,11,1,0
1,0,0,0,1,33,2,0
1,0,0,0,1,44,2,0
1,0,0,0,1,155,5,0
1,0,0,0,1,90,3,0
1,144,5,0,1,0,0,0
1,0,0,0,1,38,2,0
1,0,0,0,1,28,1,0
1,156,6,156,1,104,4,0
1,123,4,0,1,0,0,0
1,151,5,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,98,4,0
1,58,2,0,1,0,0,0
1,40,2,0,1,5,1,0
1,39,2,0,1,0,0,0
1,156,6,0,1,6,1,6
1,0,0,0,1,39,2,39
1,0,0,0,1,0,0,0
1,27,1,0,1,0,0,0
1,0,0,0,1,19,1,0
1,24,1,0,1,47,2,0
1,156,6,0,1,0,0,0
1,22,1,0,1,127,5,0
1,12,1,12,1,0,0,0
1,0,0,0,1,177,6,0
1,167,6,0,1,1,1,0
1,0,0,0,1,5,1,0
1,0,0,0,1,0,0,0
1,78,3,0,1,68,3,0
1,0,0,0,1,137,5,0
1,0,0,0,1,13,1,0
1,122,4,0,1,0,0,0
1,22,1,0,1,9,1,9
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,173,6,0,1,115,4,0
1,0,0,0,1,0,0,0
1,0,0,0,1,72,3,0
1,2,1,0,1,4,1,0
1,80,3,80,1,155,5,0
1,130,5,130,1,34,2,0
1,16,1,0,1,24,1,0
1,0,0,0,1,14,1,0
1,68,3,0,1,110,4,0
1,81,3,0,1,5,1,0
1,0,0,0,1,106,4,106
1,13,1,0,1,98,4,0
1,0,0,0,1,179,6,0
1,20,1,0,1,0,0,0
1,38,2,38,1,8,1,0
1,163,6,0,1,70,3,70
1,145,5,0,1,10,1,0
1,0,0,0,1,18,1,0
1,0,0,0,1,0,0,0
1,142,5,0,1,64,3,0
1,164,6,0,1,54,2,0
1,0,0,0,1,124,4,0
1,0,0,0,1,131,5,0
1,0,0,0,1,111,4,0
1,0,0,0,1,40,2,0
1,0,0,0,1,138,5,0
1,0,0,0,1,0,0,0
1,48,2,0,1,160,6,0
1,32,2,0,1,60,2,0
1,5,1,0,1,29,1,0
1,0,0,0,1,0,0,0
1,59,2,0,1,9,1,0
1,1,1,0,1,0,0,0
1,0,0,0,1,93,3,0
1,0,0,0,1,20,1,0
1,55,2,0,1,50,2,0
